Date,Close
3/13/2014,6493.1
3/14/2014,6504.2
3/18/2014,6516.65
3/19/2014,6524.05
3/20/2014,6483.1
3/21/2014,6493.2
3/24/2014,6583.5
3/25/2014,6589.75
3/26/2014,6601.4
3/27/2014,6641.75
3/28/2014,6695.9
3/31/2014,6704.2
4/1/2014,6721.05
4/2/2014,6752.55
4/3/2014,6736.1
4/4/2014,6694.35
4/7/2014,6695.05
4/9/2014,6796.2
4/10/2014,6796.4
4/11/2014,6776.3
4/15/2014,6733.1
4/16/2014,6675.3
4/17/2014,6779.4
4/21/2014,6817.65
4/22/2014,6815.35
4/23/2014,6840.8
4/25/2014,6782.75
4/28/2014,6761.25
4/29/2014,6715.25
4/30/2014,6696.4
5/2/2014,6694.8
5/5/2014,6699.35
5/6/2014,6715.3
5/7/2014,6652.55
5/8/2014,6659.85
5/9/2014,6858.8
5/12/2014,7014.25
5/13/2014,7108.75
5/14/2014,7108.75
5/15/2014,7123.15
5/16/2014,7203
5/19/2014,7263.55
5/20/2014,7275.5
5/21/2014,7252.9
5/22/2014,7276.4
5/23/2014,7367.1
5/26/2014,7359.05
5/27/2014,7318
5/28/2014,7329.65
5/29/2014,7235.65
5/30/2014,7229.95
6/2/2014,7362.5
6/3/2014,7415.85
6/4/2014,7402.25
6/5/2014,7474.1
6/6/2014,7583.4
6/9/2014,7654.6
6/10/2014,7656.4
6/11/2014,7626.85
6/12/2014,7649.9
6/13/2014,7542.1
6/16/2014,7533.55
6/17/2014,7631.7
6/18/2014,7558.2
6/19/2014,7540.7
6/20/2014,7511.45
6/23/2014,7493.35
6/24/2014,7580.2
6/25/2014,7569.25
6/26/2014,7493.2
6/27/2014,7508.8
6/30/2014,7611.35
7/1/2014,7634.7
7/2/2014,7725.15
7/3/2014,7714.8
7/4/2014,7751.6
7/7/2014,7787.15
7/8/2014,7623.2
7/9/2014,7585
7/10/2014,7567.75
7/11/2014,7459.6
7/14/2014,7454.15
7/15/2014,7526.65
